image,name,stage,side
wu463a69a0,monarch,adult,both
wva4890b7f,viceroy,adult,dorsal
wx20f22289,monarch,adult,ventral
wz6a937f0a,viceroy,adult,ventral
wzd794a000,viceroy,adult,dorsal
xi5f7ad9af,monarch,adult,dorsal
xi90aaf43f,monarch,adult,ventral
xje9c102c5,viceroy,adult,dorsal
xkd0a2b056,monarch,adult,ventral
xm22acc4ae,monarch,adult,ventral
xm503def38,monarch,adult,dorsal
xne41f7cdc,viceroy,adult,dorsal
xp656ddcd2,viceroy,adult,ventral
xqfc1a3500,monarch,adult,both
xrf92955f8,viceroy,adult,dorsal
xv78965dc6,monarch,adult,ventral
xx923ed04a,viceroy,adult,dorsal
xy8d7b3f96,monarch,adult,ventral
yj2d02854f,monarch,adult,both
yn424bd3ce,viceroy,adult,dorsal
yncf7aa7ac,monarch,adult,ventral
yq5a4e8ffd,viceroy,adult,ventral
yqb7712299,monarch,adult,ventral
yw3d89d3f6,monarch,adult,dorsal
yw709e0ca0,monarch,adult,dorsal
yxb58a7eb6,monarch,adult,dorsal
yz69f44832,viceroy,adult,dorsal
yzcf14cfbd,monarch,adult,dorsal
zd49ddd2af,viceroy,adult,ventral
zi6dae77bb,monarch,adult,ventral
zna01e1721,monarch,adult,ventral
zr4b528a61,monarch,adult,dorsal
zsa1dd703f,monarch,adult,dorsal
zv0af06300,monarch,adult,ventral
zx2c43fea0,viceroy,adult,ventral
